Station_ID_C,PositionName,Year,mon,day,Hour,aqi,CO,NO2,O3,PM10,PM2_5,SO2
2622A,昌都监测站,2026,4,23,21,30.0,0.5,8.0,96.0,19.0,4.0,8.0
3719A,昌都会议中心,2026,4,23,21,33.0,0.3,4.0,103.0,21.0,8.0,5.0
2692A,新区政务中心,2026,4,23,21,34.0,0.3,11.0,107.0,29.0,18.0,6.0
3613A,亚心广场,2026,4,23,21,51.0,0.4,14.0,108.0,51.0,18.0,7.0
4164A,财政所,2026,4,23,21,103.0,0.8,38.0,82.0,79.0,63.0,10.0
1120A,客车厂,2026,4,23,21,72.0,0.4,32.0,77.0,72.0,46.0,9.0
1121A,邮电学院,2026,4,23,21,58.0,0.5,20.0,92.0,60.0,36.0,8.0
1122A,劳动公园,2026,4,23,21,56.0,0.5,29.0,85.0,58.0,34.0,9.0
1123A,园林处,2026,4,23,21,57.0,0.5,31.0,78.0,59.0,38.0,10.0
1124A,净月潭,2026,4,23,21,45.0,0.4,12.0,103.0,36.0,31.0,7.0
1126A,经开区环卫处,2026,4,23,21,54.0,0.5,45.0,75.0,55.0,34.0,6.0
1127A,高新区管委会,2026,4,23,21,71.0,0.3,32.0,70.0,79.0,24.0,7.0
1128A,岱山公园,2026,4,23,21,42.0,0.4,28.0,85.0,42.0,27.0,5.0
4281A,北亚泰大街1068号,2026,4,23,21,58.0,0.4,27.0,82.0,37.0,39.0,7.0
1335A,经开区环保局,2026,4,23,21,47.0,0.5,29.0,72.0,47.0,28.0,3.0
1336A,高开区环保局,2026,4,23,21,39.0,0.4,10.0,96.0,39.0,24.0,6.0
1337A,马坡岭,2026,4,23,21,0.0,0.9,34.0,0.0,45.0,32.0,6.0
1338A,湖南师范大学,2026,4,23,21,38.0,0.6,13.0,70.0,38.0,19.0,6.0
1339A,雨花区环保局,2026,4,23,21,46.0,0.6,17.0,83.0,38.0,32.0,5.0
1340A,伍家岭,2026,4,23,21,45.0,0.5,32.0,51.0,44.0,31.0,4.0
1341A,火车新站,2026,4,23,21,46.0,0.4,20.0,79.0,44.0,32.0,5.0
1342A,天心区环保局,2026,4,23,21,50.0,0.5,23.0,81.0,46.0,35.0,6.0
1343A,湖南中医药大学,2026,4,23,21,42.0,0.6,40.0,48.0,42.0,28.0,6.0
1727A,清华站,2026,4,23,21,40.0,0.4,15.0,116.0,40.0,14.0,10.0
1730A,审计局,2026,4,23,21,41.0,0.5,13.0,120.0,41.0,23.0,12.0
1731A,长治八中,2026,4,23,21,55.0,0.5,18.0,114.0,56.0,21.0,13.0
2845A,德盛苑,2026,4,23,21,37.0,0.4,16.0,116.0,35.0,20.0,10.0
3568A,向阳小学,2026,4,23,21,62.0,0.6,18.0,122.0,66.0,21.0,12.0
3569A,屯留一中,2026,4,23,21,47.0,0.6,21.0,104.0,47.0,19.0,10.0
4189A,英华南巷50号,2026,4,23,21,50.0,0.8,11.0,121.0,50.0,23.0,9.0
4190A,学府街1号,2026,4,23,21,39.0,0.6,6.0,119.0,39.0,10.0,5.0
1854A,市二中,2026,4,23,21,50.0,0.7,11.0,94.0,22.0,35.0,8.0
3138A,武陵区永安,2026,4,23,21,40.0,0.6,12.0,96.0,40.0,23.0,7.0
3139A,鼎城区玉霞,2026,4,23,21,49.0,0.6,8.0,99.0,34.0,34.0,8.0
3140A,武陵区长庚,2026,4,23,21,48.0,0.7,8.0,101.0,36.0,33.0,9.0
1196A,市监测站,2026,4,23,21,53.0,0.6,25.0,73.0,53.0,16.0,5.0
1200A,武进监测站,2026,4,23,21,48.0,0.6,45.0,50.0,48.0,18.0,8.0
3002A,行政中心,2026,4,23,21,0.0,0.0,37.0,0.0,70.0,19.0,7.0
3003A,经开区,2026,4,23,21,48.0,0.5,25.0,65.0,48.0,12.0,3.0
3010A,钟楼,2026,4,23,21,40.0,0.1,45.0,66.0,40.0,20.0,8.0
3429A,武进经发区,2026,4,23,21,58.0,0.5,44.0,58.0,60.0,23.0,7.0
3430A,金坛城区,2026,4,23,21,0.0,0.6,20.0,0.0,34.0,19.0,8.0
4089A,崇义南街5-H号,2026,4,23,21,52.0,0.5,44.0,49.0,52.0,16.0,7.0
2220A,西梁,2026,4,23,21,66.0,0.7,21.0,115.0,72.0,38.0,11.0
2221A,河畔小区,2026,4,23,21,50.0,0.8,20.0,128.0,50.0,30.0,11.0
2222A,八里堡,2026,4,23,21,63.0,0.8,21.0,130.0,68.0,35.0,12.0
3026A,市政府,2026,4,23,21,12.0,0.5,4.0,37.0,5.0,4.0,2.0
4036A,金山,2026,4,23,21,10.0,0.4,3.0,30.0,3.0,4.0,2.0
2473A,市职中,2026,4,23,21,26.0,0.7,30.0,7.0,26.0,18.0,5.0
2475A,市审计局,2026,4,23,21,26.0,0.0,16.0,37.0,26.0,16.0,2.0
2476A,市环保局,2026,4,23,21,33.0,0.6,31.0,25.0,33.0,21.0,5.0
4252A,好美居路49号,2026,4,23,21,44.0,0.0,33.0,13.0,44.0,28.0,3.0
1431A,金泉两河,2026,4,23,21,62.0,0.5,29.0,77.0,66.0,24.0,3.0
1432A,十里店,2026,4,23,21,73.0,0.6,24.0,100.0,82.0,26.0,5.0
1433A,三瓦窑,2026,4,23,21,74.0,0.8,32.0,92.0,83.0,27.0,4.0
1434A,沙河铺,2026,4,23,21,52.0,0.4,33.0,80.0,52.0,23.0,3.0
2880A,大石西路,2026,4,23,21,63.0,0.5,30.0,78.0,68.0,36.0,4.0
3136A,龙泉驿区区政府,2026,4,23,21,44.0,0.5,12.0,96.0,44.0,22.0,8.0
3357A,金博路,2026,4,23,21,60.0,0.6,50.0,64.0,64.0,27.0,5.0
3359A,华阳,2026,4,23,21,0.0,0.5,28.0,0.0,51.0,23.0,5.0
3488A,青石路225号,2026,4,23,21,39.0,0.6,22.0,103.0,39.0,21.0,8.0
3489A,科学城,2026,4,23,21,43.0,0.6,18.0,99.0,43.0,24.0,6.0
4011A,光华大道三段,2026,4,23,21,68.0,0.6,23.0,82.0,74.0,32.0,4.0
4144A,八角井街185号,2026,4,23,21,50.0,0.5,10.0,98.0,50.0,15.0,6.0
4224A,鲸龙路1057号,2026,4,23,21,45.0,0.5,22.0,104.0,45.0,8.0,7.0
1062A,铁路,2026,4,23,21,70.0,0.4,19.0,140.0,78.0,38.0,4.0
1063A,中国银行,2026,4,23,21,68.0,0.5,17.0,130.0,74.0,41.0,3.0
4073A,杏林街1号,2026,4,23,21,66.0,0.4,10.0,152.0,66.0,43.0,4.0
4274A,滨河大街98号,2026,4,23,21,58.0,0.3,15.0,111.0,61.0,39.0,22.0
2314A,池州学院,2026,4,23,21,25.0,0.9,24.0,63.0,25.0,14.0,3.0
3237A,展览馆,2026,4,23,21,20.0,0.4,20.0,64.0,16.0,9.0,2.0
3333A,第八中学,2026,4,23,21,20.0,0.4,25.0,55.0,18.0,14.0,4.0
3334A,第十二中学,2026,4,23,21,23.0,0.5,21.0,72.0,11.0,8.0,3.0
1744A,松山一中,2026,4,23,21,53.0,0.6,16.0,123.0,53.0,28.0,6.0
1745A,哈达街,2026,4,23,21,61.0,0.7,10.0,106.0,65.0,31.0,8.0
1746A,天义路,2026,4,23,21,76.0,0.5,16.0,119.0,53.0,48.0,7.0
3058A,银河街,2026,4,23,21,63.0,0.8,15.0,115.0,68.0,34.0,15.0
3286A,桥北物流园区,2026,4,23,21,62.0,0.5,30.0,93.0,59.0,41.0,4.0
2521A,市环保局江州分局,2026,4,23,21,20.0,0.6,11.0,62.0,20.0,10.0,2.0
4256A,石景林东路7号,2026,4,23,21,0.0,0.5,12.0,0.0,60.0,10.0,4.0
3207A,市政府原办公楼,2026,4,23,21,51.0,0.5,28.0,66.0,51.0,27.0,5.0
3331A,图书馆,2026,4,23,21,0.0,0.5,26.0,0.0,0.0,10.0,9.0
4101A,银山路666号,2026,4,23,21,37.0,0.3,16.0,71.0,37.0,11.0,5.0
4102A,黄山路555号,2026,4,23,21,58.0,0.7,27.0,65.0,60.0,19.0,6.0
2606A,市经济开发区,2026,4,23,21,64.0,0.7,12.0,128.0,61.0,42.0,2.0
4153A,团结路562号,2026,4,23,21,0.0,0.4,7.0,0.0,43.0,41.0,4.0
2549A,市环境监测站,2026,4,23,21,,,,,,,
2550A,凤凰小区,2026,4,23,21,79.0,1.0,90.0,7.0,90.0,47.0,6.0
2551A,达县机关宾馆,2026,4,23,21,62.0,0.5,83.0,4.0,66.0,31.0,4.0
2552A,市政中心,2026,4,23,21,55.0,0.8,79.0,22.0,57.0,26.0,6.0
2614A,大理市环境监测站,2026,4,23,21,50.0,0.5,10.0,112.0,41.0,35.0,4.0
2615A,大理古城,2026,4,23,21,46.0,0.5,6.0,114.0,46.0,28.0,3.0
1109A,甘井子,2026,4,23,21,39.0,0.7,29.0,95.0,39.0,22.0,8.0
1110A,周水子,2026,4,23,21,48.0,0.6,51.0,61.0,48.0,30.0,7.0
1111A,星海三站,2026,4,23,21,35.0,0.5,23.0,91.0,35.0,20.0,4.0
1112A,青泥洼桥,2026,4,23,21,38.0,0.2,12.0,119.0,17.0,15.0,4.0
1113A,傅家庄,2026,4,23,21,36.0,0.4,9.0,114.0,20.0,7.0,7.0
1114A,七贤岭,2026,4,23,21,31.0,0.5,17.0,97.0,31.0,15.0,5.0
1116A,金州,2026,4,23,21,40.0,0.4,29.0,94.0,40.0,20.0,8.0
1117A,开发区,2026,4,23,21,0.0,0.5,0.0,77.0,44.0,23.0,8.0
1118A,双D港,2026,4,23,21,35.0,0.6,46.0,54.0,35.0,22.0,5.0
4082A,旅顺,2026,4,23,21,34.0,0.4,28.0,86.0,34.0,20.0,6.0
1789A,大同区,2026,4,23,21,37.0,0.5,13.0,76.0,37.0,23.0,2.0
